0,2,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,5.0,2.0,-1.0,1.0,6.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,-1.0,1.0,2.0,-4.0,2.0,4.0,3.0,5.0,5.0,,,,,,,,,,,,,
0,1,1,3,4,-2.0,2.0,4.0,4.0,3.0,0.0,-3.0,0.0,-4.0,-4.0,-7.0,-3.0,-1.0,-5.0,-6.0,-9.0,-11.0,-10.0,-11.0,-9.0,-11.0,-12.0,-13.0,-16.0,-10.0,-13.0,-6.0,-6.0,-7.0,-8.0,-4.0,-10.0,,,,,,,,,,,,
0,-1,-3,3,3,3.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,10.0,4.0,2.0,9.0,8.0,6.0,9.0,4.0,5.0,5.0,5.0,6.0,6.0,3.0,5.0,6.0,3.0,,,,,,,,,,,,
0,0,2,-1,-1,-2.0,-4.0,-1.0,0.0,3.0,3.0,1.0,-1.0,-1.0,3.0,4.0,3.0,6.0,5.0,7.0,2.0,2.0,5.0,8.0,3.0,9.0,6.0,2.0,5.0,4.0,2.0,4.0,8.0,3.0,5.0,,,,,,,,,,,,,,
0,2,5,3,0,1.0,5.0,2.0,3.0,2.0,-1.0,0.0,2.0,0.0,-2.0,2.0,-2.0,-1.0,-9.0,-2.0,-2.0,-8.0,-8.0,-4.0,-4.0,-8.0,-7.0,-9.0,-7.0,-8.0,-10.0,-8.0,-10.0,-11.0,-7.0,-8.0,-7.0,-8.0,-4.0,-7.0,-8.0,-8.0,-6.0,-4.0,,,,,
0,3,1,1,1,0.0,-3.0,-2.0,-2.0,-2.0,-3.0,-1.0,-1.0,-1.0,2.0,5.0,-1.0,2.0,2.0,3.0,-4.0,-6.0,1.0,-1.0,-3.0,-4.0,-4.0,-10.0,-8.0,-10.0,-9.0,-6.0,-6.0,-3.0,-6.0,-6.0,,,,,,,,,,,,,
0,1,-1,2,0,0.0,-3.0,1.0,-3.0,-2.0,-5.0,0.0,1.0,0.0,-1.0,1.0,-1.0,3.0,-2.0,-1.0,0.0,2.0,6.0,0.0,-1.0,3.0,-1.0,-3.0,0.0,-2.0,-9.0,-6.0,-7.0,-8.0,-6.0,-7.0,-4.0,-1.0,-5.0,,,,,,,,,,
0,-1,1,1,-1,-2.0,0.0,2.0,2.0,1.0,-1.0,-1.0,-2.0,4.0,-1.0,-2.0,-2.0,2.0,5.0,4.0,1.0,-3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,6.0,0.0,5.0,6.0,10.0,2.0,6.0,,,,,,,,,,,,,
0,-2,-1,1,0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-2.0,3.0,-1.0,1.0,-2.0,2.0,1.0,-9.0,-3.0,0.0,-3.0,-1.0,0.0,3.0,1.0,1.0,3.0,2.0,8.0,14.0,6.0,10.0,10.0,10.0,,,,,,,,,,,,,,
0,3,1,1,3,0.0,-1.0,5.0,3.0,0.0,-2.0,-1.0,2.0,2.0,0.0,3.0,4.0,8.0,6.0,5.0,9.0,8.0,3.0,4.0,7.0,5.0,0.0,5.0,0.0,6.0,6.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,,
0,-2,-1,-1,-2,1.0,0.0,-5.0,-7.0,-3.0,-2.0,-3.0,-3.0,-9.0,-4.0,-2.0,-5.0,-7.0,-4.0,-5.0,-6.0,-6.0,-7.0,-7.0,-8.0,-7.0,-9.0,-12.0,-10.0,-18.0,-16.0,-12.0,,,,,,,,,,,,,,,,,
0,2,5,5,3,6.0,4.0,2.0,2.0,-2.0,0.0,3.0,2.0,-1.0,-5.0,0.0,-2.0,-2.0,0.0,-7.0,-9.0,-10.0,-9.0,-11.0,-8.0,-11.0,-14.0,-10.0,-9.0,-14.0,-7.0,-10.0,-11.0,-10.0,-6.0,-7.0,-9.0,-8.0,-3.0,-6.0,-4.0,-1.0,-3.0,-4.0,,,,,
0,0,2,2,2,2.0,4.0,6.0,6.0,6.0,6.0,7.0,5.0,5.0,10.0,4.0,3.0,5.0,4.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0,0.0,-1.0,-1.0,2.0,0.0,1.0,-6.0,-2.0,-1.0,-3.0,-1.0,-3.0,,,,,,,,,,,
0,0,2,-1,-1,2.0,0.0,2.0,2.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-3.0,-5.0,-2.0,-1.0,1.0,0.0,-8.0,-10.0,-10.0,-7.0,-7.0,-2.0,-5.0,-8.0,-7.0,-4.0,-6.0,-4.0,-5.0,-6.0,-4.0,-2.0,-1.0,0.0,3.0,,,,,,,,,
0,-1,1,2,1,-1.0,0.0,-4.0,0.0,0.0,-2.0,-3.0,-1.0,0.0,-2.0,-6.0,-6.0,-1.0,0.0,-4.0,-2.0,-4.0,-8.0,-3.0,-3.0,-4.0,-1.0,-7.0,-3.0,-3.0,-6.0,-4.0,-7.0,-4.0,,,,,,,,,,,,,,,
0,1,1,1,2,1.0,0.0,-2.0,-6.0,0.0,-1.0,0.0,-2.0,0.0,-1.0,-1.0,1.0,1.0,-7.0,-3.0,-6.0,-8.0,-10.0,-5.0,-2.0,-7.0,-7.0,-9.0,-10.0,-6.0,-7.0,-9.0,-5.0,-12.0,-6.0,-5.0,-10.0,,,,,,,,,,,,
0,-2,-3,0,0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,5.0,6.0,3.0,0.0,-1.0,2.0,6.0,2.0,3.0,4.0,4.0,6.0,9.0,4.0,0.0,5.0,1.0,3.0,4.0,,,,,,,,,,,,,,
0,1,4,1,1,0.0,-2.0,1.0,4.0,-1.0,2.0,1.0,0.0,0.0,-1.0,-5.0,0.0,0.0,-3.0,4.0,-4.0,-5.0,1.0,-4.0,-6.0,-2.0,-3.0,-6.0,-4.0,-2.0,-7.0,-8.0,-8.0,-5.0,-5.0,-9.0,,,,,,,,,,,,,
0,0,-3,-1,1,2.0,1.0,1.0,-1.0,5.0,4.0,1.0,1.0,1.0,-2.0,-2.0,-5.0,-8.0,-1.0,-3.0,6.0,2.0,0.0,-2.0,2.0,-1.0,0.0,1.0,1.0,5.0,1.0,5.0,10.0,5.0,3.0,5.0,3.0,,,,,,,,,,,,
0,-1,2,2,1,7.0,6.0,7.0,7.0,11.0,14.0,21.0,16.0,16.0,13.0,12.0,11.0,11.0,14.0,9.0,8.0,9.0,12.0,10.0,10.0,11.0,9.0,4.0,4.0,-1.0,2.0,3.0,-1.0,5.0,0.0,4.0,,,,,,,,,,,,,
0,0,1,1,0,-1.0,-1.0,-3.0,-5.0,-3.0,0.0,-3.0,-1.0,1.0,1.0,-2.0,-5.0,3.0,-2.0,-3.0,3.0,-1.0,-3.0,-5.0,-6.0,-7.0,-12.0,-10.0,-9.0,-6.0,-10.0,-10.0,-11.0,-10.0,-8.0,-13.0,-10.0,,,,,,,,,,,,
0,0,0,3,2,-2.0,-2.0,0.0,0.0,0.0,-1.0,4.0,1.0,1.0,1.0,5.0,-3.0,2.0,-2.0,-1.0,0.0,-1.0,3.0,1.0,-2.0,-3.0,-6.0,-2.0,-5.0,0.0,-9.0,-4.0,-4.0,-1.0,-5.0,-4.0,-2.0,-3.0,-1.0,-3.0,-4.0,-2.0,-3.0,,,,,,
0,0,-2,-1,0,1.0,2.0,0.0,-3.0,-3.0,-6.0,-8.0,-2.0,-5.0,-2.0,-4.0,-4.0,-6.0,-9.0,-11.0,-12.0,-14.0,-12.0,-11.0,-12.0,-15.0,-9.0,-14.0,-10.0,-16.0,-12.0,-15.0,-9.0,-8.0,-10.0,-8.0,-8.0,-6.0,,,,,,,,,,,
0,1,-1,-2,0,1.0,3.0,5.0,2.0,-2.0,2.0,3.0,7.0,1.0,7.0,0.0,2.0,1.0,0.0,6.0,3.0,2.0,3.0,1.0,6.0,4.0,7.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,,,,,,,,,,,,,,
0,0,-4,-7,-2,-4.0,-4.0,-6.0,-3.0,-6.0,-1.0,-5.0,-7.0,-4.0,-4.0,-9.0,-1.0,-1.0,-2.0,1.0,2.0,3.0,3.0,3.0,6.0,3.0,2.0,-2.0,-2.0,0.0,-5.0,-3.0,-3.0,-7.0,,,,,,,,,,,,,,,
0,1,4,2,3,0.0,0.0,0.0,2.0,1.0,3.0,0.0,-4.0,2.0,2.0,4.0,3.0,1.0,1.0,-2.0,3.0,-4.0,2.0,-1.0,-2.0,0.0,-5.0,-3.0,-4.0,-3.0,-3.0,-3.0,-4.0,-5.0,-4.0,-5.0,-4.0,-2.0,-1.0,-2.0,-3.0,-5.0,-6.0,-2.0,-1.0,-3.0,,,
0,-2,-3,-4,-3,-1.0,-1.0,-2.0,-3.0,-5.0,-1.0,2.0,-2.0,-2.0,-3.0,-3.0,-5.0,-7.0,-7.0,-10.0,-4.0,-7.0,-3.0,-4.0,-10.0,-8.0,-8.0,-6.0,-6.0,-9.0,-7.0,-12.0,-11.0,-9.0,,,,,,,,,,,,,,,
0,0,-1,-2,-2,-2.0,-1.0,-3.0,-2.0,0.0,-2.0,-2.0,-6.0,-2.0,-3.0,-4.0,0.0,1.0,3.0,2.0,3.0,0.0,3.0,3.0,-1.0,2.0,-7.0,-3.0,-6.0,-3.0,-2.0,1.0,2.0,4.0,8.0,2.0,7.0,7.0,7.0,4.0,,,,,,,,,
0,-2,-1,-3,-2,-3.0,-5.0,-4.0,-3.0,-5.0,-5.0,-7.0,-5.0,-9.0,-12.0,-13.0,-11.0,-13.0,-13.0,-12.0,-15.0,-16.0,-17.0,-20.0,-18.0,-16.0,-19.0,-13.0,-17.0,-12.0,-11.0,,,,,,,,,,,,,,,,,,
0,0,0,-1,-2,0.0,-1.0,3.0,3.0,2.0,2.0,2.0,3.0,7.0,4.0,1.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,11.0,4.0,8.0,10.0,3.0,5.0,-4.0,4.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,,,,,,,,,
0,-2,-1,2,0,2.0,0.0,-1.0,-1.0,-5.0,-7.0,0.0,2.0,2.0,-1.0,-2.0,-4.0,-5.0,-8.0,-5.0,-8.0,-9.0,-9.0,-10.0,-4.0,-9.0,-10.0,-10.0,-12.0,-11.0,-16.0,-15.0,-12.0,-9.0,-12.0,-11.0,-9.0,,,,,,,,,,,,
0,0,1,-2,-1,-1.0,-3.0,-6.0,-8.0,-3.0,-2.0,-2.0,-2.0,3.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,-3.0,1.0,1.0,2.0,2.0,-2.0,-4.0,-2.0,-11.0,-12.0,-7.0,-2.0,-6.0,-6.0,,,,,,,,,,,,
0,0,0,-3,-3,3.0,-2.0,-2.0,-5.0,-3.0,-5.0,-8.0,-11.0,-12.0,-13.0,-15.0,-19.0,-13.0,-14.0,-18.0,-19.0,-15.0,-17.0,-10.0,-13.0,-8.0,-9.0,-7.0,-8.0,-11.0,-8.0,-9.0,-8.0,-7.0,-9.0,-6.0,-8.0,-9.0,-6.0,-7.0,-3.0,-4.0,-3.0,-1.0,-2.0,0.0,-2.0,-3.0,1.0
0,0,1,-1,3,1.0,-1.0,-2.0,1.0,3.0,6.0,6.0,5.0,3.0,7.0,6.0,2.0,3.0,2.0,3.0,7.0,2.0,8.0,7.0,7.0,7.0,7.0,4.0,1.0,3.0,2.0,2.0,3.0,0.0,-1.0,-2.0,2.0,3.0,,,,,,,,,,,
0,3,4,3,-1,4.0,4.0,3.0,7.0,5.0,8.0,10.0,7.0,9.0,10.0,5.0,5.0,4.0,7.0,5.0,8.0,4.0,8.0,5.0,8.0,8.0,6.0,10.0,7.0,1.0,-5.0,2.0,-3.0,-1.0,-6.0,-5.0,,,,,,,,,,,,,
0,2,-1,-3,2,2.0,1.0,3.0,2.0,3.0,2.0,5.0,4.0,7.0,3.0,5.0,6.0,3.0,6.0,4.0,5.0,8.0,8.0,10.0,6.0,7.0,10.0,1.0,5.0,1.0,2.0,-1.0,4.0,-1.0,0.0,1.0,,,,,,,,,,,,,
0,4,2,3,0,-1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,-5.0,4.0,1.0,5.0,1.0,0.0,-2.0,4.0,4.0,2.0,0.0,-2.0,-3.0,-4.0,0.0,0.0,-5.0,0.0,2.0,-1.0,1.0,-3.0,-4.0,-5.0,-6.0,-2.0,-3.0,,,,,,,
0,0,-1,-2,1,-2.0,1.0,-2.0,-4.0,-3.0,-1.0,-3.0,-2.0,-1.0,-3.0,3.0,0.0,-2.0,1.0,-3.0,-3.0,1.0,-2.0,-1.0,-5.0,-5.0,-5.0,-4.0,0.0,-2.0,-4.0,-4.0,-7.0,-5.0,-4.0,,,,,,,,,,,,,,
0,1,3,2,1,7.0,1.0,0.0,1.0,2.0,-1.0,4.0,5.0,6.0,10.0,10.0,10.0,9.0,7.0,8.0,7.0,9.0,10.0,8.0,8.0,15.0,15.0,9.0,9.0,9.0,9.0,14.0,12.0,17.0,13.0,,,,,,,,,,,,,,
0,0,1,1,-2,-2.0,1.0,-2.0,-1.0,0.0,0.0,-1.0,-3.0,-2.0,-4.0,-6.0,-4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,7.0,5.0,-1.0,0.0,-1.0,3.0,-4.0,-6.0,-2.0,-5.0,-3.0,-4.0,-3.0,-3.0,-1.0,-1.0,-2.0,-1.0,-2.0,,
0,2,0,-1,3,2.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,-2.0,-5.0,-5.0,2.0,-4.0,-2.0,-4.0,-1.0,-3.0,2.0,-3.0,-3.0,-5.0,-8.0,-4.0,-8.0,-4.0,-4.0,,,,,,,,,,,,
0,-1,4,-2,-1,0.0,1.0,0.0,-2.0,-1.0,-5.0,1.0,1.0,0.0,-3.0,-2.0,-1.0,1.0,-1.0,2.0,3.0,1.0,1.0,6.0,3.0,8.0,7.0,8.0,10.0,5.0,11.0,6.0,9.0,,,,,,,,,,,,,,,,
0,1,1,2,1,0.0,0.0,0.0,-1.0,0.0,-2.0,-2.0,-3.0,0.0,-1.0,1.0,-3.0,4.0,-2.0,1.0,-2.0,0.0,-6.0,-10.0,-5.0,-3.0,-3.0,-3.0,-4.0,-3.0,0.0,-2.0,-4.0,-2.0,-4.0,-3.0,,,,,,,,,,,,,
0,-2,0,-1,-1,2.0,2.0,3.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-2.0,-4.0,2.0,-1.0,-2.0,-6.0,-3.0,-4.0,-4.0,-3.0,-3.0,-5.0,-2.0,-10.0,-5.0,-10.0,-4.0,-9.0,-7.0,-6.0,-4.0,-6.0,-4.0,-4.0,-7.0,,,,,,,,,
0,-2,-2,-5,-7,-1.0,-3.0,-5.0,-7.0,-8.0,-9.0,-7.0,-6.0,-3.0,-11.0,-9.0,-14.0,-12.0,-14.0,-16.0,-14.0,-9.0,-14.0,-18.0,-13.0,-14.0,-17.0,-12.0,-19.0,-12.0,-19.0,-18.0,-13.0,-19.0,-12.0,-7.0,-13.0,-11.0,,,,,,,,,,,
0,1,-2,1,-1,-1.0,5.0,4.0,6.0,1.0,5.0,4.0,5.0,1.0,0.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,7.0,9.0,5.0,10.0,4.0,11.0,9.0,11.0,12.0,8.0,,,,,,,,,,,,,,,
0,0,0,0,-2,-5.0,1.0,2.0,-2.0,-2.0,-1.0,-3.0,-3.0,-3.0,-6.0,-5.0,-5.0,-4.0,-5.0,1.0,-2.0,0.0,-2.0,-5.0,1.0,-2.0,-4.0,-4.0,-5.0,-5.0,-1.0,-2.0,-1.0,-6.0,-1.0,-2.0,-1.0,1.0,-1.0,,,,,,,,,,
0,1,-2,-2,-3,-4.0,-4.0,-1.0,-5.0,-3.0,-2.0,-6.0,-2.0,-3.0,-4.0,-8.0,-8.0,-2.0,-2.0,-3.0,-1.0,-2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,7.0,2.0,5.0,5.0,1.0,3.0,-2.0,-3.0,-4.0,-2.0,-4.0,-5.0,-1.0,1.0,-1.0,-1.0,,,
0,2,2,3,1,-2.0,3.0,2.0,1.0,1.0,-1.0,-2.0,4.0,1.0,6.0,3.0,4.0,2.0,-3.0,5.0,3.0,2.0,4.0,2.0,7.0,4.0,2.0,7.0,2.0,6.0,3.0,7.0,2.0,5.0,4.0,,,,,,,,,,,,,,
0,3,1,0,-1,-3.0,-4.0,-5.0,-5.0,-5.0,-3.0,-2.0,-1.0,-2.0,0.0,-4.0,-7.0,-2.0,-2.0,-6.0,-6.0,-7.0,-4.0,-3.0,-4.0,-4.0,-3.0,1.0,-6.0,-4.0,-3.0,-3.0,-3.0,-7.0,-5.0,-6.0,-5.0,-6.0,,,,,,,,,,,
0,1,0,0,-2,-2.0,2.0,-3.0,-2.0,6.0,4.0,4.0,2.0,2.0,3.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,0.0,0.0,2.0,1.0,-3.0,-2.0,-4.0,-6.0,-8.0,-6.0,-4.0,-9.0,,,,,,,,,,,,,,,,
0,1,-1,0,-1,-1.0,-1.0,1.0,2.0,4.0,4.0,-2.0,2.0,0.0,2.0,3.0,5.0,1.0,-1.0,-2.0,-4.0,-2.0,-5.0,-5.0,-4.0,-5.0,-3.0,-4.0,-6.0,-9.0,-4.0,1.0,-5.0,-6.0,-5.0,-2.0,-4.0,-2.0,-3.0,-4.0,-3.0,,,,,,,,
0,2,1,2,2,1.0,0.0,-2.0,1.0,-3.0,-2.0,0.0,-1.0,1.0,-1.0,2.0,2.0,0.0,4.0,5.0,4.0,-1.0,-4.0,-4.0,-4.0,-8.0,-8.0,-8.0,-7.0,-10.0,-7.0,,,,,,,,,,,,,,,,,,
0,0,-1,1,0,-1.0,0.0,-2.0,1.0,-1.0,-4.0,1.0,3.0,-3.0,-2.0,1.0,4.0,3.0,5.0,4.0,-3.0,-1.0,2.0,1.0,3.0,-2.0,1.0,0.0,1.0,-2.0,2.0,4.0,-1.0,2.0,3.0,-3.0,-4.0,-3.0,-5.0,,,,,,,,,,
0,-2,-5,1,-2,0.0,-2.0,-5.0,-3.0,-2.0,-6.0,-7.0,-4.0,-3.0,-4.0,-6.0,-2.0,-5.0,-7.0,-11.0,-5.0,-4.0,-4.0,-9.0,-4.0,2.0,-2.0,-7.0,-4.0,-4.0,-6.0,-6.0,-7.0,-3.0,-5.0,-2.0,-4.0,-5.0,-3.0,-2.0,-3.0,-4.0,,,,,,,
0,2,2,3,1,0.0,3.0,2.0,-1.0,-1.0,-4.0,-3.0,1.0,-6.0,-7.0,-4.0,-3.0,1.0,-2.0,-3.0,-2.0,-1.0,-1.0,-2.0,-3.0,-5.0,-2.0,-5.0,-3.0,-11.0,-9.0,-10.0,-6.0,-4.0,-7.0,-4.0,-3.0,2.0,-2.0,-4.0,-5.0,-4.0,,,,,,,
0,-3,-5,0,0,-1.0,0.0,1.0,1.0,-2.0,-2.0,-4.0,-3.0,-1.0,-3.0,-1.0,-4.0,0.0,-2.0,0.0,1.0,-2.0,-3.0,2.0,3.0,-1.0,4.0,-2.0,-5.0,-1.0,-5.0,-1.0,0.0,-3.0,-4.0,-3.0,-2.0,-3.0,-4.0,-5.0,-6.0,-5.0,-4.0,1.0,-2.0,,,,
0,0,1,1,-2,-1.0,1.0,1.0,0.0,1.0,3.0,6.0,2.0,0.0,3.0,2.0,0.0,5.0,1.0,7.0,3.0,4.0,2.0,7.0,7.0,3.0,0.0,3.0,9.0,3.0,3.0,1.0,-3.0,-4.0,-5.0,-6.0,-5.0,-4.0,-4.0,,,,,,,,,,
0,1,3,3,3,5.0,0.0,2.0,1.0,0.0,-3.0,2.0,-3.0,0.0,0.0,-2.0,-2.0,5.0,-1.0,-2.0,2.0,1.0,0.0,-3.0,-1.0,-4.0,-4.0,0.0,-6.0,-3.0,-9.0,-3.0,,,,,,,,,,,,,,,,,
0,2,0,-1,1,1.0,-2.0,-1.0,-2.0,0.0,-2.0,-2.0,-3.0,-2.0,-10.0,-9.0,-10.0,-10.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-3,-3,-6,-1,-2.0,-2.0,-3.0,-1.0,-2.0,-6.0,-8.0,-4.0,-4.0,-4.0,-2.0,-1.0,1.0,-2.0,-2.0,1.0,3.0,-4.0,-5.0,-2.0,-6.0,-6.0,-5.0,-1.0,,,,,,,,,,,,,,,,,,,,
0,0,-1,2,1,3.0,2.0,2.0,0.0,3.0,1.0,-2.0,-4.0,3.0,0.0,0.0,-2.0,1.0,4.0,-3.0,-1.0,8.0,6.0,8.0,7.0,8.0,6.0,4.0,7.0,9.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,
0,3,0,-2,-2,5.0,4.0,1.0,0.0,5.0,2.0,3.0,1.0,2.0,12.0,6.0,5.0,6.0,13.0,14.0,16.0,6.0,12.0,15.0,15.0,12.0,12.0,10.0,8.0,10.0,5.0,4.0,5.0,3.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,,,,,,
0,0,1,-3,-4,-1.0,2.0,0.0,-4.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,0.0,4.0,3.0,-1.0,4.0,3.0,3.0,4.0,-5.0,2.0,4.0,1.0,-1.0,0.0,-4.0,-5.0,0.0,-3.0,-2.0,,,,,,,,,,,,
0,-2,-2,-1,-5,-4.0,1.0,1.0,-1.0,-2.0,-2.0,-2.0,0.0,1.0,-3.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-4.0,1.0,-3.0,-5.0,-5.0,-2.0,-3.0,1.0,-5.0,-5.0,-1.0,-2.0,0.0,0.0,3.0,-3.0,0.0,,,,,,,,,,
0,1,1,1,1,3.0,3.0,6.0,4.0,5.0,6.0,6.0,4.0,6.0,5.0,8.0,11.0,6.0,9.0,5.0,2.0,3.0,7.0,9.0,3.0,5.0,3.0,5.0,4.0,-3.0,4.0,4.0,5.0,8.0,,,,,,,,,,,,,,,
0,0,1,-1,-1,2.0,0.0,0.0,-2.0,-1.0,2.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,-1.0,-1.0,4.0,0.0,-2.0,-1.0,-5.0,-6.0,2.0,2.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,,,,,,,,,,,,,
0,0,2,0,0,0.0,1.0,-1.0,-5.0,0.0,0.0,3.0,1.0,5.0,5.0,1.0,1.0,4.0,3.0,-2.0,2.0,5.0,-1.0,-1.0,2.0,-4.0,2.0,2.0,-5.0,0.0,-5.0,-2.0,-5.0,-4.0,-5.0,-5.0,,,,,,,,,,,,,
0,-2,-2,-2,2,-1.0,3.0,2.0,-2.0,-2.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-2.0,1.0,1.0,-3.0,-2.0,-5.0,-2.0,-5.0,-2.0,-8.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
0,-1,1,1,4,5.0,6.0,-1.0,1.0,3.0,6.0,3.0,2.0,4.0,1.0,5.0,7.0,2.0,1.0,5.0,2.0,3.0,7.0,3.0,9.0,7.0,3.0,5.0,3.0,2.0,1.0,5.0,2.0,5.0,9.0,6.0,,,,,,,,,,,,,
0,-2,-4,-4,-2,1.0,-5.0,-5.0,-7.0,-7.0,-6.0,-10.0,-5.0,-5.0,-7.0,-7.0,-7.0,-11.0,-7.0,-9.0,-11.0,-10.0,-12.0,-10.0,-11.0,-11.0,-12.0,-11.0,-13.0,-11.0,-12.0,-11.0,-10.0,-7.0,-8.0,-3.0,-2.0,-6.0,-4.0,-5.0,-2.0,-3.0,-1.0,-2.0,1.0,,,,
0,2,-2,0,1,-1.0,-1.0,-3.0,0.0,-2.0,-2.0,0.0,-3.0,-1.0,3.0,2.0,1.0,-2.0,1.0,-2.0,-3.0,-10.0,-6.0,-6.0,-5.0,-8.0,-10.0,-9.0,-10.0,-4.0,-4.0,-5.0,-12.0,-6.0,-10.0,-8.0,-6.0,-12.0,,,,,,,,,,,
0,0,-1,0,1,-3.0,-6.0,0.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-4.0,-7.0,-7.0,-4.0,-8.0,-5.0,0.0,-2.0,-2.0,-5.0,-5.0,-5.0,-4.0,-2.0,-5.0,0.0,1.0,-1.0,-2.0,0.0,-1.0,-2.0,-3.0,-2.0,-3.0,-2.0,-3.0,-5.0,-4.0,-6.0,-9.0,-6.0,-3.0,1.0,-2.0
0,0,-1,-3,-4,0.0,2.0,2.0,3.0,1.0,-2.0,4.0,4.0,-1.0,-2.0,2.0,1.0,1.0,4.0,-2.0,-1.0,1.0,0.0,4.0,5.0,0.0,2.0,2.0,-2.0,3.0,-2.0,3.0,-3.0,-2.0,-1.0,-2.0,-3.0,-2.0,0.0,-1.0,,,,,,,,,
0,0,-1,-3,-1,-1.0,-2.0,-2.0,-2.0,2.0,-1.0,-1.0,-5.0,-6.0,2.0,-5.0,-5.0,-5.0,-6.0,-7.0,-4.0,-1.0,-5.0,-6.0,-6.0,-3.0,-8.0,-4.0,-8.0,-12.0,-6.0,-12.0,-10.0,-5.0,-5.0,-9.0,-8.0,-9.0,-10.0,-8.0,-6.0,,,,,,,,
0,0,2,1,3,3.0,2.0,-1.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,9.0,10.0,14.0,12.0,10.0,12.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,-1,-1,2.0,0.0,-2.0,-2.0,-1.0,1.0,-3.0,-3.0,-3.0,-1.0,-3.0,-2.0,1.0,2.0,2.0,-4.0,1.0,0.0,-6.0,-4.0,2.0,-1.0,-3.0,-6.0,-2.0,-3.0,-2.0,2.0,-3.0,-2.0,-2.0,3.0,-3.0,0.0,,,,,,,,,,
0,0,1,1,-1,-3.0,-2.0,1.0,0.0,-2.0,-3.0,-5.0,-3.0,-5.0,-6.0,-3.0,-3.0,1.0,-4.0,-7.0,-2.0,-6.0,-5.0,0.0,-1.0,1.0,1.0,2.0,-1.0,0.0,3.0,-1.0,3.0,4.0,3.0,,,,,,,,,,,,,,
0,-1,2,1,0,0.0,-2.0,-4.0,-3.0,4.0,-1.0,2.0,-2.0,1.0,-1.0,-3.0,-5.0,-1.0,-1.0,-4.0,-1.0,-6.0,-7.0,-4.0,-2.0,-7.0,-10.0,-5.0,-5.0,-8.0,-9.0,-11.0,-8.0,-9.0,-7.0,-5.0,-10.0,-5.0,-6.0,-7.0,-5.0,-6.0,-7.0,-9.0,-1.0,-4.0,-4.0,-1.0,
0,0,4,2,0,0.0,0.0,2.0,0.0,2.0,0.0,-2.0,0.0,0.0,-3.0,-4.0,-1.0,-1.0,0.0,-1.0,-1.0,-3.0,2.0,4.0,-1.0,-1.0,1.0,1.0,4.0,3.0,1.0,-1.0,-2.0,-4.0,-5.0,-1.0,-2.0,,,,,,,,,,,,
0,-1,-3,-2,0,2.0,3.0,2.0,2.0,-1.0,1.0,0.0,-1.0,-2.0,-2.0,-2.0,-4.0,-4.0,2.0,-3.0,-3.0,-6.0,-2.0,-4.0,-6.0,-8.0,-4.0,-7.0,-8.0,-6.0,-7.0,-5.0,-1.0,-5.0,-3.0,,,,,,,,,,,,,,
0,-2,1,2,1,2.0,1.0,4.0,3.0,0.0,0.0,1.0,7.0,2.0,4.0,7.0,1.0,7.0,4.0,3.0,7.0,6.0,3.0,6.0,-2.0,5.0,2.0,2.0,1.0,1.0,0.0,6.0,6.0,4.0,1.0,6.0,4.0,1.0,4.0,,,,,,,,,,
